# file:		F_SBB_00001_18800101_009_001_0_003
# sbb url:	http://zefys.staatsbibliothek-berlin.de/kalender/auswahl/date/1880-01-01/27646518/
# tel url:	http://www.theeuropeanlibrary.org/tel4/newspapers/issue/3000097231562?page=3
Donnerstag O
, O
1 O
. O
Januar O
. O
Kam/? O
, O
dessen O
Ende O
vielleicht O
noch O
heute O
nicht O
abzusehen O
wäre O
, O
wenn O
nicht O
Herr O
Ganibetta B-PER
als O
<ts»8 O
er O
w»cdm» O
erschienen O
wäre O
, O
resp O
, O
durch O
persönliche O
Intervention O
bei O
dem O
Präsidenten O
Grevy B-PER
einen O
Ausgleich O
herbeigeführt O
hätte O
. O
Es O
scheint O
dem O
Kammerpräsidenten O
plötzlich O
ein O
Argwohn O
oder O
eine O
Befürchtung O
gekommen O
zu O
sein O
, O
als O
ob O
hinter O
dem O
Bemühen O
, O
WaddiWon O
und O
Lson O
Say O
zu O
halten O
, O
dagegen O
Lepere O
zu O
entfernen O
, O
die O
Absicht O
stecke O
, O
das O
neue O
Ministerium O
von O
dem O
bisher O
dominirenden O
Einfluß O
des O
Palais B-LOC
Bourbon I-LOC
frei O
zu O
machen O
. O
Sein O
Besuch O
bei O
Grevy B-PER
am O
Sonntag O
Morgen O
um O
Iv O
Uhr O
soll O
keineswegs O
erbeten O
sondern O
— O
zum O
ersten O
Mall O
— O
freiwillig O
und O
ziemlich O
unerwartet O
erfolgt O
sein O
. O
Was O
zwischen O
den O
beiden O
Präsidenten O
verhandelt O
worden O
, O
weiß O
natürlich O
niemand O
, O
wenn O
nicht O
Herr O
Ganibetta B-PER
selbst O
es O
hinterher O
beim O
Frühstück O
seinem O
Intimus O
, O
dem O
Schauspieler O
Coquelin B-PER
dem O
„ O
Jüngeren O
" O
von O
der O
Comedie O
francaise O
anvertraut O
hat O
. O
Abends O
im O
Theater O
spielte O
der O
Allgewaltige O
freilich O
wieder O
den O
Unbefangenen O
und O
Ununterrichteten O
, O
denn O
er O
leugnete O
sogar O
seinen O
Besuch O
vom O
Vormittag O
, O
obwohl O
Hunderte O
das O
wohlbekannte O
kleine O
Coupe O
Gambettas B-PER
eine O
ganze O
Stunde O
lang O
von O
der O
Rue O
du O
Faubourg O
St O
. O
Honors O
aus O
im O
Vorhof O
des O
Elysee B-LOC
stationiren O
gesehen O
hatten O
. O
Der O
Erfolg O
dieser O
Visite O
war O
denn O
auch O
schon O
in O
derselben O
Zeit O
zu O
spüren O
, O
da O
derjenige O
, O
der O
sie O
gemacht O
, O
sie O
ableugnen O
wollte O
. O
Herr O
Lepere B-PER
, O
der O
bereits O
seine O
Siebensachen O
zusammengepackt O
hatte O
, O
weil O
er O
glaubte O
ausziehen O
zu O
müssen O
— O
Freycinet B-PER
selbst O
hatte O
ihm O
das O
zu O
wiederholten O
Malen O
in O
dürren O
Worten O
gesagt O
— O
Herr O
Lepsre B-PER
erhielt O
von O
Ganibetta B-PER
die O
Nachricht O
, O
daß O
er O
bleiben O
dürfe O
. O
Gleichzeitig O
wurde O
Herrn O
Waddington B-PER
das O
Gegentheil O
bedeutet O
; O
den O
Botschafterposten O
in O
London B-LOC
, O
der O
ihm O
als O
Entschädigung O
angeboten O
wurde O
, O
schlug O
er O
aus O
. O
Von O
allen O
diesen O
Vorgängen O
erhielt O
Leon B-PER
Say O
erst O
in O
später O
Nachmittagsstunde O
Kenntniß O
. O
Sein O
Entschluß O
war O
sofort O
gefaßt O
. O
Gegen O
0 O
Uhr O
Abends O
fuhr O
er O
ins O
Elysee O
und O
legte O
sein O
Portefeuille O
in O
Grevys B-PER
Hände O
zurück O
. O
Da O
zwei O
Stunden O
später O
die O
Ernennungsdekrete O
für O
das O
neue O
Ministerium O
ausgefertigt O
wurden O
, O
so O
kann O
die O
Wahl O
Maguiu'S B-PER
erst O
im O
letzten O
Augenblick O
getroffen O
, O
angeboten O
und O
angenommen O
sein O
. O
Aber O
, O
so O
werden O
Sie O
fragen O
, O
weshalb O
hatte O
denn O
Herr O
Lepöre B-PER
durch O
aus O
gehen O
sollen O
? O
Lachen O
Sie O
nicht O
, O
wenn O
ich O
Ihnen O
die O
Wahrheit O
sage O
: O
Freycinet B-PER
mag O
ihn O
nicht O
— O
riechen O
. O
Der O
jetzige O
Minister B-PER
des I-PER
Innern I-PER
hat O
nämlich O
allerlei O
Gewohnheiten O
aus O
seiner O
fidelen O
Studentenzeit O
beibehalten O
, O
unter O
Anderen O
die O
des O
Rauchens O
. O
Und O
wenn O
er O
wenigstens O
noch O
gute O
Cigarren O
, O
echtes O
Havaunahkraut O
rauchen O
wollte O
! O
Allein O
die O
kann O
hier O
in O
Folge O
des O
Monopols O
nicht O
einmal O
ein O
Minister O
sich O
leisten O
, O
wenn O
er O
nicht O
nebenbei O
Millionär O
von O
Fach O
ist O
. O
Herr O
Lepöre B-PER
ist O
ein O
unvermögender O
Jurist O
, O
und O
da O
er O
mit O
dem O
Dichter O
der O
Ansicht O
huldigt O
: O
. O
Rauch O
ist O
alles O
irdische O
Leben O
, O
" O
so O
ist O
er O
auf O
